fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,q_max,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,np_100,n_nub,np_001,ta_min,e,np_300,nv_1000,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,q_mar,inso,p_sol,evap,nw_55,w_racha,nw_91,w_rec,ts_20,ts_10,ts_50,glo
1962-3,2462,55.0(07),24.0,89.0,0.0,14.0,815.7(28),803.4,-3.5,7.5(15),2.8,0.0,0.0,0.0,10.0,7.0,22.0,-10.0(14),54.0,3.0,2.0,286.3,3.0,0.0,13.0,26.0,-2.7,19.0,-0.6,2.4,21.0,788.3(04),20.0,1011.9,2.0,17.0,,,,,,,,,
1962-4,2462,91.4(24),18.0,86.0,1.0,11.0,819.8(09),810.2,-0.7,11.4(07),3.5,0.0,0.0,1.0,6.0,11.0,16.0,-6.6(10),65.0,3.0,2.0,267.8,8.0,1.0,6.0,16.0,0.2,7.0,2.8,6.3,18.0,793.9(18),16.0,1017.5,4.5,34.0,,,,,,,,,
1962-5,2462,27.6(30),12.0,75.0,1.0,4.0,819.8(15),813.3,2.7,17.6(07),8.7,0.0,0.0,2.0,2.0,17.0,12.0,-4.7(15),77.0,0.0,2.0,76.1,9.0,1.0,8.0,7.0,0.0,3.0,6.9,11.2,9.0,804.2(27),12.0,1017.8,6.2,43.0,,,,,,,,,
1962-6,2462,22.9(14),7.0,66.0,0.0,2.0,822.1(24),816.4,8.0,23.0(22),15.0,0.0,0.0,2.0,3.0,21.0,4.0,0.0(01),96.0,0.0,2.0,52.2,4.0,0.0,6.0,2.0,5.0,0.0,12.4,16.7,4.0,806.1(01),4.0,1017.2,8.8,58.0,,,,,,,,,
1962-7,2462,0.0(--),0.0,45.0,0.0,1.0,822.5(31),816.5,10.6,26.4(31),14.5,0.0,0.0,22.0,0.0,9.0,0.0,5.5(16),85.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,17.4,0.0,16.2,21.7,0.0,810.5(05),0.0,1014.4,12.4,84.0,,,,,,,,,
1962-8,2462,2.4(26),2.0,42.0,0.0,0.0,823.9(29),818.5,12.5,29.0(19),18.0,0.0,0.0,19.0,0.0,10.0,1.0,4.0(07),88.0,0.0,0.0,2.4,1.0,0.0,6.0,0.0,20.6,0.0,18.3,24.1,0.0,813.3(06),1.0,1015.7,10.9,79.0,,,,,,,,,
1962-9,2462,48.1(24),6.0,65.0,1.0,8.0,823.3(11),816.1,8.8,25.5(13),15.0,0.0,0.0,8.0,2.0,16.0,6.0,0.0(27),97.0,1.0,3.0,84.0,7.0,2.0,3.0,1.0,7.4,0.0,13.8,18.7,2.0,807.3(19),6.0,1016.0,7.3,58.0,,,,,,,,,
1962-10,2462,81.2(26),13.0,86.0,0.0,13.0,822.1(05),814.0,5.2,19.0(07),10.0,0.0,0.0,6.0,5.0,12.0,13.0,-2.2(29),93.0,1.0,9.0,176.9,15.0,1.0,9.0,3.0,3.2,0.0,8.2,11.2,8.0,804.7(15),11.0,1017.8,4.7,42.0,,,,,,,,,
1962-11,2462,22.3(11),20.0,89.0,0.0,17.0,817.3(25),806.4,-3.8,7.2(29),0.1,0.0,0.0,6.0,6.0,4.0,15.0,-9.7(19),50.0,0.0,2.0,108.8,0.0,0.0,10.0,29.0,-6.0,16.0,-1.4,1.0,18.0,787.1(06),12.0,1016.3,2.9,30.0,,,,,,,,,
1962-12,2462,56.8(30),14.0,78.0,0.0,15.0,824.2(09),809.8,-3.9,9.0(01),3.0,0.0,0.0,7.0,5.0,10.0,15.0,-20.3(25),44.0,2.0,0.0,221.1,5.0,0.0,13.0,26.0,-12.2,10.0,-1.3,1.3,17.0,787.9(29),14.0,1020.9,3.6,39.0,,,,,,,,,
