fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,np_100,n_nub,p_sol,np_001,ta_min,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,nw_55,w_racha,nw_91,w_rec,w_med,ts_20,ts_10,ts_50
1922-8,3195,12.4(13),2.0,48.0,0.0,0.0,10.4,945.8(23),1013.8,939.9,17.0,34.2(21),20.0,19.0,7.0,18.0,1.0,11.0,76.0,5.0,10.1(30),139.0,0.0,0.0,1501.0,15.1,8.0,0.0,0.0,17.9,0.0,23.5,30.0,0.0,933.1(29),2.0,0.0,23/11.1(13),0.0,,8.0,,,
1922-9,3195,23.7(09),5.0,62.0,0.0,0.0,8.2,953.4(20),1017.9,941.8,11.3,28.6(22),15.6,0.0,6.0,15.0,1.0,10.0,66.0,4.0,5.7(12),119.0,0.0,0.0,794.0,39.9,6.0,0.0,0.0,14.3,0.0,16.9,22.4,0.0,927.3(27),4.0,,,,,8.0,,,
1922-10,3195,17.6(15),10.0,,0.0,1.0,6.0,954.7(14),1020.4,944.0,9.3,27.6(05),13.4,0.0,23.0,6.0,3.0,15.0,53.0,13.0,2.0(26),,0.0,1.0,,91.1,14.0,0.0,0.0,9.2,0.0,13.9,18.5,0.0,933.2(09),12.0,,,,,,,,
1922-11,3195,,,,,,,,,,4.4,16.6(03),11.6,0.0,,,,,,,-2.5(29),,,,,9.9,,,4.0,8.3,,8.2,12.0,,,,,,,,,,,
1922-12,3195,,,,,,,,,,0.3,12.7(07),7.0,0.0,,,,,,,-2.1(27),,,,,16.9,,,18.0,2.4,,4.3,8.3,,,,,,,,,,,
1922-13,3195,,,,,,,,,,8.0,35.6(30/jul),20.2,49.0,,,,,,,-2.9(07/feb),,,,,409.3,,,44.0,2.4,,13.3,18.6,,,,,,,,,,,
1923-1,3195,,0.0,,,,,,,,-0.6,13.1(31),8.6,0.0,31.0,17.0,,14.0,,,-3.6(30),,,0.0,,2.0,,,22.0,5.6,,4.1,8.8,0.0,,,,,,,,,,
1923-2,3195,5.5(07),6.0,77.0,1.0,4.0,3.9,957.0(01),1018.8,939.9,2.5,15.0(03),8.8,0.0,,4.0,0.0,18.0,37.0,12.0,-2.4(06),77.0,0.0,,338.0,24.2,13.0,0.0,3.0,3.0,1.0,6.8,11.1,,921.0(08),9.0,,,,327.0,,,,
1923-3,3195,26.5(22),7.0,69.0,0.0,0.0,6.3,951.0(29),1017.8,940.1,5.4,19.0(18),9.6,0.0,5.0,7.0,3.0,17.0,52.0,9.0,0.0(06),88.0,0.0,0.0,647.0,67.8,11.0,1.0,1.0,11.2,0.0,10.3,15.2,0.0,928.3(20),6.0,,,,274.0,,,,
1923-4,3195,9.6(21),11.0,70.0,1.0,0.0,6.2,948.9(30),1011.4,934.2,5.0,23.4(30),8.6,0.0,3.0,4.0,0.0,15.0,47.0,12.0,0.6(09),89.0,0.0,1.0,,36.1,13.0,2.0,0.0,8.9,1.0,10.1,15.2,0.0,916.1(21),9.0,,,,330.0,,,,
1923-5,3195,19.2(19),5.0,57.0,0.0,0.0,9.1,947.9(02),1015.9,940.1,9.8,30.6(04),15.8,2.0,9.0,6.0,1.0,18.0,63.0,7.0,4.3(28),110.0,0.0,0.0,,33.0,10.0,5.0,0.0,14.7,0.0,16.2,22.6,0.0,931.9(30),4.0,,,,328.0,,,,
1923-6,3195,5.2(04),2.0,51.0,0.0,0.0,10.5,951.1(10),1018.1,942.8,11.6,29.8(25),17.5,0.0,13.0,11.0,0.0,17.0,70.0,4.0,4.4(23),115.0,0.0,0.0,,11.0,5.0,0.0,0.0,15.2,0.0,18.4,25.2,0.0,937.0(04),3.0,,,,,,,,
1923-7,3195,18.2(11),2.0,46.0,1.0,0.0,11.0,950.3(21),1015.4,941.8,17.9,35.8(26),21.6,24.0,9.0,14.0,1.0,15.0,75.0,3.0,12.0(11),147.0,0.0,0.0,1665.0,20.9,3.0,4.0,0.0,18.6,0.0,24.6,31.3,0.0,934.3(31),2.0,,,,263.0,,,,
1923-8,3195,2.1(01),1.0,42.0,0.0,0.0,10.8,948.1(09),1015.3,941.5,18.6,35.7(08),23.8,26.0,16.0,20.0,0.0,10.0,79.0,1.0,11.8(31),139.0,0.0,0.0,,2.1,4.0,2.0,0.0,20.3,0.0,25.6,32.5,0.0,933.8(21),1.0,,,,,,,,
1923-9,3195,10.8(16),6.0,,0.0,0.0,8.8,952.9(30),1019.5,944.1,12.1,28.8(27),16.2,0.0,,16.0,1.0,8.0,70.0,5.0,7.4(19),,0.0,,942.0,19.3,7.0,0.0,0.0,13.4,0.0,18.0,23.9,,933.9(15),3.0,,,,,,,,
1923-10,3195,8.5(14),6.0,65.0,0.0,0.0,,955.4(01),1018.2,941.6,10.9,28.2(02),14.6,0.0,22.0,8.0,0.0,17.0,,7.0,4.6(28),116.0,0.0,1.0,714.0,22.5,8.0,0.0,0.0,13.8,0.0,15.9,20.8,0.0,926.6(27),6.0,,,,,,,,
1923-11,3195,19.3(27),17.0,,0.0,0.0,3.3,949.8(17),,936.6,4.0,19.3(01),12.2,0.0,30.0,4.0,4.0,9.0,33.0,19.0,-3.4(22),,0.0,0.0,,101.2,20.0,0.0,2.0,6.0,0.0,7.4,10.8,0.0,921.5(10),13.0,,,,,5.0,,,
1923-12,3195,5.6(08),2.0,,0.0,1.0,6.4,953.3(17),,945.8,-0.2,11.4(28),6.5,0.0,31.0,17.0,0.0,12.0,69.0,4.0,-2.7(23),,0.0,0.0,367.0,9.6,4.0,0.0,21.0,5.5,0.0,4.3,8.6,0.0,933.0(05),2.0,,,,,5.0,,,
1923-13,3195,,65.0,,,,,,,,8.1,35.8(26/jul),23.8,52.0,,128.0,,170.0,,,-3.6(30/ene),,,,,349.7,,,49.0,3.0,,13.5,18.8,,,,,,,,,,,
1924-1,3195,22.8(15),11.0,77.0,0.0,9.0,4.2,953.9(27),1020.7,941.5,2.1,12.7(02),6.4,0.0,31.0,8.0,1.0,12.0,43.0,9.0,-2.4(31),71.0,0.0,0.0,269.0,35.0,10.0,0.0,6.0,5.0,0.0,5.5,8.8,0.0,919.1(16),4.0,,,,,8.0,,,
1924-2,3195,27.9(09),9.0,,1.0,3.0,5.6,950.5(02),1016.5,936.5,-0.6,11.5(14),5.6,0.0,,13.0,3.0,7.0,53.0,12.0,-3.8(08),,0.0,,308.0,103.7,7.0,2.0,19.0,2.5,5.0,3.2,7.0,,919.1(10),11.0,0.0,25/8.9(13),0.0,,8.0,,,
1924-3,3195,10.6(19),14.0,77.0,0.0,1.0,3.7,945.3(12),1012.3,935.0,5.2,17.5(25),12.2,0.0,,1.0,1.0,14.0,31.0,17.0,-3.5(01),90.0,0.0,,386.0,55.0,19.0,0.0,3.0,7.9,0.0,9.2,13.2,,919.5(29),14.0,0.0,23/15.0(25),0.0,,6.0,,,
1924-4,3195,23.4(05),9.0,,2.0,0.0,8.1,955.0(19),1015.6,939.0,6.7,26.9(30),14.2,0.0,,9.0,1.0,12.0,60.0,9.0,-1.5(03),,0.0,,533.0,38.2,7.0,1.0,2.0,8.9,0.0,12.5,18.3,,929.3(08),3.0,0.0,25/8.9(26),0.0,,5.0,,,
1924-5,3195,7.0(06),9.0,53.0,1.0,0.0,8.4,949.9(09),1015.4,940.0,11.9,29.5(13),15.5,0.0,,7.0,0.0,15.0,58.0,3.0,5.9(08),118.0,0.0,,,8.0,3.0,2.0,0.0,19.1,0.0,18.5,25.0,,928.3(06),1.0,0.0,11/6.1(16),0.0,,4.0,,,
1924-6,3195,0.0(--),2.0,43.0,0.0,0.0,11.6,947.1(25),1015.5,941.0,14.3,35.0(30),18.6,14.0,,12.0,0.0,16.0,77.0,0.0,9.9(01),118.0,0.0,,1272.0,0.0,2.0,1.0,0.0,22.6,0.0,21.5,28.6,,932.2(16),0.0,0.0,09/11.1(23),0.0,,8.0,,,
1924-7,3195,0.0(--),1.0,37.0,0.0,0.0,12.1,947.3(14),1014.2,940.6,16.8,35.9(13),20.5,24.0,0.0,25.0,0.0,5.0,82.0,0.0,12.6(06),116.0,0.0,1.0,1609.0,0.0,1.0,0.0,0.0,25.3,0.0,24.3,31.8,0.0,931.8(28),0.0,0.0,29/11.1(29),0.0,,8.0,,,
1924-8,3195,0.0(--),2.0,,0.0,0.0,11.2,948.9(25),,940.1,16.0,36.3(06),21.8,17.0,,22.0,0.0,7.0,81.0,0.0,9.5(23),,0.0,,1523.0,0.0,3.0,0.0,0.0,19.2,0.0,23.2,30.3,,934.5(12),0.0,,,,,,,,
1924-9,3195,28.2(07),3.0,65.0,0.0,0.0,7.8,946.9(17),1015.9,940.7,13.6,34.6(01),19.2,1.0,,9.0,2.0,18.0,62.0,6.0,5.1(25),145.0,0.0,,768.0,55.2,10.0,0.0,0.0,18.6,0.0,18.9,24.3,,931.5(07),4.0,0.0,18/10.8(07),0.0,,6.0,,,
1924-10,3195,6.3(26),7.0,67.0,0.0,0.0,6.7,951.3(31),1018.6,942.2,9.9,27.0(20),14.2,0.0,,7.0,0.0,17.0,60.0,4.0,4.0(04),117.0,0.0,,673.0,12.0,12.0,0.0,0.0,16.0,0.0,15.1,20.3,,933.7(03),3.0,0.0,14/12.8(14),0.0,,7.0,,,
1924-11,3195,9.5(09),10.0,,0.0,4.0,5.7,953.0(01),,941.4,4.2,20.0(02),9.5,0.0,,10.0,0.0,10.0,57.0,11.0,-0.6(18),,0.0,,314.0,60.2,14.0,0.0,3.0,7.4,0.0,8.3,12.3,,922.3(26),10.0,0.0,25/11.4(26),0.0,,5.0,,,
